isogroup16641	Cytoskeleton
isogroup29659	Posttranslational modification, protein turnover, chaperones
isogroup5764	Amino acid transport and metabolism
isogroup5176	Intracellular trafficking, secretion, and vesicular transport
isogroup39648	Posttranslational modification, protein turnover, chaperones
isogroup8697	Signal transduction mechanisms
isogroup1715	Signal transduction mechanisms
isogroup16621	Signal transduction mechanisms
isogroup3670	Signal transduction mechanisms
isogroup5935	Carbohydrate transport and metabolism
isogroup5314	Translation, ribosomal structure and biogenesis
isogroup5314	Intracellular trafficking, secretion, and vesicular transport
isogroup5728	Nuclear structure
isogroup6894	Cell cycle control, cell division, chromosome partitioning
isogroup2956	Posttranslational modification, protein turnover, chaperones
isogroup5218	Signal transduction mechanisms
isogroup5218	Lipid transport and metabolism
isogroup24342	Translation, ribosomal structure and biogenesis
isogroup22055	Posttranslational modification, protein turnover, chaperones
isogroup44353	Transcription
isogroup4009	Nuclear structure
isogroup11835	Extracellular structures
isogroup1641.1	Posttranslational modification, protein turnover, chaperones
isogroup14922	Posttranslational modification, protein turnover, chaperones
isogroup28931	Transcription
isogroup39998	Transcription
isogroup17168	Posttranslational modification, protein turnover, chaperones
isogroup1037	Posttranslational modification, protein turnover, chaperones
isogroup1037	Amino acid transport and metabolism
isogroup35972	Posttranslational modification, protein turnover, chaperones
isogroup3618	Cytoskeleton
isogroup33013	Signal transduction mechanisms
isogroup1381	Posttranslational modification, protein turnover, chaperones
isogroup38774	Inorganic ion transport and metabolism
isogroup392	Posttranslational modification, protein turnover, chaperones
isogroup4800	Signal transduction mechanisms
isogroup4800	Intracellular trafficking, secretion, and vesicular transport
isogroup12848	RNA processing and modification 
isogroup1858	RNA processing and modification 
isogroup18484	Transcription
isogroup19635	Transcription
isogroup8725	Transcription
isogroup14924	Transcription
isogroup6839	Signal transduction mechanisms
isogroup6839	Posttranslational modification, protein turnover, chaperones
isogroup32372	Posttranslational modification, protein turnover, chaperones
isogroup8079	Transcription
isogroup25741	Transcription
isogroup3530.1	Amino acid transport and metabolism
isogroup8038	Carbohydrate transport and metabolism
isogroup10569	Extracellular structures
isogroup7865	Signal transduction mechanisms
isogroup6305	Lipid transport and metabolism
isogroup27711	Signal transduction mechanisms
isogroup299	Signal transduction mechanisms
isogroup5345	Signal transduction mechanisms
isogroup2466	Lipid transport and metabolism
isogroup28535	Signal transduction mechanisms
isogroup8348	Extracellular structures
isogroup15032	Signal transduction mechanisms
isogroup15032	Cytoskeleton
isogroup33544	Posttranslational modification, protein turnover, chaperones
isogroup13812	Signal transduction mechanisms
isogroup13812	Intracellular trafficking, secretion, and vesicular transport
isogroup12493	Translation, ribosomal structure and biogenesis
isogroup15559	Posttranslational modification, protein turnover, chaperones
isogroup1794	RNA processing and modification 
isogroup6161	Nucleotide transport and metabolism
isogroup18141	Secondary metabolites biosynthesis, transport and catabolism
isogroup12213	Replication, recombination and repair
isogroup4602	Cytoskeleton
isogroup4070	Amino acid transport and metabolism
isogroup1963	Signal transduction mechanisms
isogroup1963	Inorganic ion transport and metabolism
isogroup37643	Signal transduction mechanisms
isogroup12251	Coenzyme transport and metabolism
isogroup45594	Translation, ribosomal structure and biogenesis
isogroup14386	Chromatin structure and dynamics
isogroup7463	Posttranslational modification, protein turnover, chaperones
isogroup18677	Posttranslational modification, protein turnover, chaperones
isogroup8118	Intracellular trafficking, secretion, and vesicular transport
isogroup23522	Carbohydrate transport and metabolism
isogroup6189	Signal transduction mechanisms
isogroup24541	Signal transduction mechanisms
isogroup29102	Signal transduction mechanisms
isogroup22996	Transcription
isogroup20072	Posttranslational modification, protein turnover, chaperones
isogroup12577	Cytoskeleton
isogroup12577	Intracellular trafficking, secretion, and vesicular transport
isogroup7317	RNA processing and modification 
isogroup916.1	Signal transduction mechanisms
isogroup13888	Amino acid transport and metabolism
isogroup13342	Cytoskeleton
isogroup26027	Energy production and conversion
isogroup1440	Posttranslational modification, protein turnover, chaperones
isogroup1440	Carbohydrate transport and metabolism
isogroup9586	Intracellular trafficking, secretion, and vesicular transport
isogroup7515	Nucleotide transport and metabolism
isogroup7948	Transcription
isogroup4494	Amino acid transport and metabolism
isogroup15617	Lipid transport and metabolism
isogroup15617	Secondary metabolites biosynthesis, transport and catabolism
isogroup1375	Posttranslational modification, protein turnover, chaperones
isogroup18934	Intracellular trafficking, secretion, and vesicular transport
isogroup32765	Replication, recombination and repair
isogroup32765	Cell cycle control, cell division, chromosome partitioning
isogroup30346	Cell cycle control, cell division, chromosome partitioning
isogroup23412	Translation, ribosomal structure and biogenesis
isogroup34331	Replication, recombination and repair
isogroup25409	Cell cycle control, cell division, chromosome partitioning
isogroup25409	Inorganic ion transport and metabolism
isogroup30041	Posttranslational modification, protein turnover, chaperones
isogroup33272	Signal transduction mechanisms
isogroup16521	Transcription
isogroup16521	Replication, recombination and repair
isogroup4116	Cell cycle control, cell division, chromosome partitioning
isogroup6638	Amino acid transport and metabolism
isogroup38086	Posttranslational modification, protein turnover, chaperones
isogroup22909	Signal transduction mechanisms
isogroup22909	Intracellular trafficking, secretion, and vesicular transport
isogroup16536	Transcription
isogroup44001	Carbohydrate transport and metabolism
isogroup6050	Signal transduction mechanisms
isogroup18036	Cell cycle control, cell division, chromosome partitioning
isogroup18036	Cell motility
isogroup7010	Transcription
isogroup29872	Posttranslational modification, protein turnover, chaperones
isogroup18317	Transcription
isogroup7987	Translation, ribosomal structure and biogenesis
isogroup16843	Signal transduction mechanisms
isogroup16843	Cytoskeleton
isogroup332	Replication, recombination and repair
isogroup4199	Posttranslational modification, protein turnover, chaperones
isogroup2577	Inorganic ion transport and metabolism
isogroup29141	Extracellular structures
isogroup11355	Energy production and conversion
isogroup5183	Lipid transport and metabolism
isogroup21407	Transcription
isogroup39725	Defense mechanisms
isogroup39725	Signal transduction mechanisms
isogroup24567	Lipid transport and metabolism
isogroup16883	Lipid transport and metabolism
isogroup16883	Secondary metabolites biosynthesis, transport and catabolism
isogroup18033	Transcription
isogroup18539	Signal transduction mechanisms
isogroup9703	Posttranslational modification, protein turnover, chaperones
isogroup24158	Intracellular trafficking, secretion, and vesicular transport
isogroup2335	Posttranslational modification, protein turnover, chaperones
isogroup961	RNA processing and modification 
isogroup15770	Signal transduction mechanisms
isogroup15770	Intracellular trafficking, secretion, and vesicular transport
isogroup14696	Cell cycle control, cell division, chromosome partitioning
isogroup35931	Signal transduction mechanisms
isogroup3813	Inorganic ion transport and metabolism
isogroup15449	Posttranslational modification, protein turnover, chaperones
isogroup21773	Carbohydrate transport and metabolism
isogroup30685	Transcription
isogroup875	Replication, recombination and repair
isogroup875	Signal transduction mechanisms
isogroup7299	Amino acid transport and metabolism
isogroup26721	Posttranslational modification, protein turnover, chaperones
isogroup27755	Nuclear structure
isogroup27755	Intracellular trafficking, secretion, and vesicular transport
isogroup6675	Signal transduction mechanisms
isogroup5130	RNA processing and modification 
isogroup10173	Secondary metabolites biosynthesis, transport and catabolism
isogroup23719	Cytoskeleton
isogroup30577	Signal transduction mechanisms
isogroup30577	Cytoskeleton
isogroup7271	Cell cycle control, cell division, chromosome partitioning
isogroup27389	Secondary metabolites biosynthesis, transport and catabolism
isogroup2933	Cell wall/membrane/envelope biogenesis
isogroup12979	Lipid transport and metabolism
isogroup30366	Signal transduction mechanisms
isogroup20915	Secondary metabolites biosynthesis, transport and catabolism
isogroup5542	Secondary metabolites biosynthesis, transport and catabolism
isogroup39739	Amino acid transport and metabolism
isogroup4621	Cytoskeleton
isogroup345	Amino acid transport and metabolism
isogroup22307	Posttranslational modification, protein turnover, chaperones
isogroup5536	Lipid transport and metabolism
isogroup6003.1	Transcription
isogroup3641.1	Chromatin structure and dynamics
isogroup10710	Intracellular trafficking, secretion, and vesicular transport
isogroup8834	Signal transduction mechanisms
isogroup28760	Cytoskeleton
isogroup19652	Cell cycle control, cell division, chromosome partitioning
isogroup19652	Cytoskeleton
isogroup8787	Extracellular structures
isogroup19183	Signal transduction mechanisms
isogroup19183	Intracellular trafficking, secretion, and vesicular transport
isogroup17381	Cytoskeleton
isogroup33978	Transcription
isogroup4648	Signal transduction mechanisms
isogroup2394	Transcription
isogroup31176	Transcription
isogroup31176	Replication, recombination and repair
isogroup4055	Carbohydrate transport and metabolism
isogroup9012	Signal transduction mechanisms
isogroup12281	Lipid transport and metabolism
isogroup22068	Posttranslational modification, protein turnover, chaperones
isogroup8484	Posttranslational modification, protein turnover, chaperones
isogroup5467	Energy production and conversion
isogroup2795	Signal transduction mechanisms
isogroup1620	Posttranslational modification, protein turnover, chaperones
isogroup10486	Transcription
isogroup29055	Posttranslational modification, protein turnover, chaperones
